Biomarker,Preferred Term,HGNC_ID,Biomolecule,Tissue,Cell,Context,Organism,Senescence Hallmark,Citation,Experimental Evidence
BAX,"BCL2 associated X, apoptosis regulator",HGNC:959,mRNA,Adipose tissue,,Obesity,Human,DDR,25682741,rt-qPCR
BDNF,brain derived neurotrophic factor,HGNC:1033,Protein,Adipose tissue,progenitors,Aging,Mouse,SASP/Inflammation,32489703,"IHC, Immunoblot, rt-qPCR"
CCAR2,cell cycle and apoptosis regulator 2,HGNC:23360,mRNA,Adipose tissue,,Obesity,Human,DDR,25682741,rt-qPCR
CCL2,C-C motif chemokine ligand 2,HGNC:10618,Protein,Adipose tissue,,Aging,Human,SASP/Inflammation,29988130,"rt-qPCR, Immunoassay"
CD38,CD38 molecule,HGNC:1667,Protein,Adipose tissue,immune cells,Aging,Mouse,Metabolic adaptations,33199925,"IHC, IF"
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Adipose tissue,"endothelial cells, mesenchymal stem cells, myeloid cells, macrophages","Aging, Obesity","Human, Mouse",Cell cycle arrest,"35024619, 34813734, 30131393, 35417665, 24397850, 31971661","scSeq, rt-qPCR, Immunoblot, Mouse model"
CDKN1C,cyclin dependent kinase inhibitor 1C,HGNC:1786,"mRNA, Protein",Adipose tissue,stem cells,Aging,Human,Cell cycle arrest,32224418,"rt-qPCR, RNAseq, IF"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA,",Adipose tissue,,"Aging, Obesity","Human, Mouse",Cell cycle arrest,"35024619, 31199925, 26578790, 29988130, 30907060, 35417665, 24397850, 31971661, 34813734","scSeq, rt-qPCR, Immunoblot, Mouse model"
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,Protein,Adipose tissue,,Aging,Human,SASP/Inflammation,29988130,"rt-qPCR, Immunoassay"
GDF15,growth differentiation factor 15,HGNC:30142,Protein,Adipose tissue,,Aging,"Human, Mouse",SASP/Inflammation,32691494,RNAseq
H2AX,H2A.X variant histone,HGNC:4739,Protein,Adipose tissue,progenitors,"Aging, Obesity","Human, Mouse",DDR,"26578790, 35417665",IF
IL1B,interleukin 1 beta,HGNC:5992,Protein,Adipose tissue,,Aging,Human,SASP/Inflammation,30907060,Immunoassay
IL6,interleukin 6,HGNC:6018,"mRNA, Protein",Adipose tissue,,"Aging, Obesity",Mouse,SASP/Inflammation,"35024619, 26578790, 29988130, 30131393, 35417665","rt-qPCR, Immunoassay, Immunoblot"
LMNB1,lamin B1,HGNC:6637,Protein,Adipose tissue,immune cells,Aging,Mouse,Nuclear changes,31199925,IF
MDM2,MDM2 proto-oncogene,HGNC:6973,Protein,Adipose tissue,,Aging,Mouse,Cell cycle arrest,30131393,"rt-qPCR, Immunoblot"
MMP12,matrix metallopeptidase 12,HGNC:7158,mRNA,Adipose tissue,progenitors,Aging,Mouse,SASP/Inflammation,26578790,"rt-qPCR, Immunoassay"
MMP3,matrix metallopeptidase 3,HGNC:7173,mRNA,Adipose tissue,progenitors,Aging,Mouse,SASP/Inflammation,26578790,"rt-qPCR, Immunoassay"
NAD+,Nicotinamide adenine dinucleotide,,,Adipose tissue,immune cells,Aging,Mouse,Metabolic adaptations,33199925,HPLC-Mass Spectroscopy
RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator",HGNC:10446,mRNA,Adipose tissue,,Aging,Human,Metabolic adaptations,30391675,"RNAseq, rt-qPCR, Immunoblot"
SA-β-Gal,senescence associated beta galactosidase,,,Adipose tissue,,"Aging, Obesity","Human, Mouse",Increased lysosomal content,"35024619, 29346516, 24397850, 36617688, 29988130, 30907060, 30131393, 35417665",Colorimetric and Fluorescent staining and microscopy
SERPINE1,serpin family E member 1,HGNC:8583,Protein,Adipose tissue,,Aging,Human,SASP/Inflammation,29988130,"rt-qPCR, Immunoassay"
SIRT1,sirtuin 1,HGNC:14929,Protein,Adipose tissue,mesenchymal stem cells,Aging,Human,Nuclear changes,29678576,"rt-qPCR, Immunoblot"
TNF,tumor necrosis factor,HGNC:11892,mRNA,Adipose tissue,progenitors,Aging,Mouse,SASP/Inflammation,"26578790, 30131393","rt-qPCR, Immunoassay"
TP53,tumor protein p53,HGNC:11998,mRNA,Adipose tissue,,Obesity,Human,Cell cycle arrest,25682741,rt-qPCR
ATM,ATM serine/threonine kinase,HGNC:795,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,Cell cycle arrest,37524694,CyTOF
BCL2,BCL2 apoptosis regulator,HGNC:990,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,Cell cycle arrest,37524694,CyTOF
CCL2,C-C motif chemokine ligand 2,HGNC:10618,mRNA,Bone marrow,"Osteocyte, Bone, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106",rt-qPCR
CCL20,C-C motif chemokine ligand 20,HGNC:10619,mRNA,Bone marrow,Bone marrow stroma,Oncogene induced senescence,Mouse,SASP/Inflammation,30401703,rt-qPCR
CCL24,C-C motif chemokine ligand 24,HGNC:10623,mRNA,Bone marrow,Bone and bone marrow biopses,Aging,Human,SASP/Inflammation,35974106,"rt-qPCR, scRNA-seq"
CCL3,C-C motif chemokine ligand 3,HGNC:10627,mRNA,Bone marrow,Needle biopsies of Bone - Marrow,Aging,Human,SASP/Inflammation,27341653,scRNA-seq
CCL5,C-C motif chemokine ligand 5,HGNC:10632,mRNA,Bone marrow,"Osteocyte, Bone marrow stroma","Aging, Irradiation Induced senescence",Mouse,SASP/Inflammation,"27341653, 26657143",rt-qPCR
CCL7,C-C motif chemokine ligand 7,HGNC:10634,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
CCL8,C-C motif chemokine ligand 8,HGNC:10635,mRNA,Bone marrow,"Osteoblast progenitor, Osteocyte, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,"mRNA, Protein",Bone marrow,"Osteocytes,  Bone marrow mesenchyme and stroma, bone, Needle biopsies of Bone - Marrow","Aging, Oncogene induced senescence, Irradiation Induced senescence","Human, Mouse",Cell cycle arrest,"27341653, 37524694, 30401703, 26657143, 35974106","rt-qPCR, scRNA-seq, CyTOF"
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,"mRNA, Protein",Bone marrow,"Osteoblast progenitor, Osteoblast, Osteocyte, Bone,  Bone marrow mesenchyme and stroma, Needle biopsies of Bone - Marrow, Needle biopsies of Bone - Marrow","Aging, Oncogene induced senescence, Irradiation Induced senescence","Human, Mouse",Cell cycle arrest,"27341653, 36711531, 30401703, 26657143","rt-qPCR, scRNA-seq, CyTOF"
CEBPB,CCAAT enhancer binding protein beta,HGNC:1834,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,SASP/Inflammation,37524694,CyTOF
CSF1,colony stimulating factor 1,HGNC:2432,mRNA,Bone marrow,"Osteocyte, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
CSF2,colony stimulating factor 2,HGNC:2434,mRNA,Bone marrow,"Osteoblast progenitor, Osteocyte, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
CSF3,colony stimulating factor 3,HGNC:2438,mRNA,Bone marrow,Needle biopsies of Bone - Marrow,Aging,Human,SASP/Inflammation,27341653,rt-qPCR
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,SASP/Inflammation,37524694,CyTOF
CXCL15,"Cxcl15 C-X-C motif chemokine 15, no homolog in humans",,mRNA,Bone marrow,"Osteocyte,  Bone marrow mesenchyme and stroma",Aging,Mouse,SASP/Inflammation,"27341653, 37524694","rt-qPCR, CyTOF"
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,mRNA,Bone marrow,Osteoblast progenitor,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
FAS,Fas cell surface death receptor,HGNC:11920,mRNA,Bone marrow,"Osteoblast progenitor, Osteoblast, Osteocyte, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
FGF13,fibroblast growth factor 13,HGNC:3670,mRNA,Bone marrow,Bone and bone marrow biopses,Aging,Human,SASP/Inflammation,35974106,scRNA-seq
HMGB1,high mobility group box 1,HGNC:4983,mRNA,Bone marrow,Osteocytes,Aging,Mouse,Nuclear changes,27341653,rt-qPCR
ICAM1,intercellular adhesion molecule 1,HGNC:5344,mRNA,Bone marrow,"Osteocyte, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
IFNG,interferon gamma,HGNC:5438,mRNA,Bone marrow,Osteoblast progenitor,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
IGFBP4,insulin like growth factor binding protein 4,HGNC:5473,mRNA,Bone marrow,"Osteocytes, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
IGFBP7,insulin like growth factor binding protein 7,HGNC:5476,mRNA,Bone marrow,Bone and bone marrow biopses,Aging,Human,SASP/Inflammation,35974106,rt-qPCR
IL17A,interleukin 17A,HGNC:5981,mRNA,Bone marrow,Osteocyte,Aging,Mouse,SASP/Inflammation,27341653,scRNA-seq
IL1A,interleukin 1 alpha,HGNC:5991,"mRNA, Protein",Bone marrow,"Osteocyte, Bone marrow mesenchyme and stroma","Aging, Irradiation Induced senescence",Mouse,SASP/Inflammation,"27341653, 37524694, 26657143","rt-qPCR, CyTOF"
IL1B,interleukin 1 beta,HGNC:5992,"mRNA, Protein",Bone marrow,Bone marrow mesenchyme and stroma,"Aging, Irradiation Induced senescence",Mouse,SASP/Inflammation,"37524694, 26657143","rt-qPCR, CyTOF"
IL6,interleukin 6,HGNC:6018,"mRNA, Protein",Bone marrow,"Osteocyte,  Bone marrow mesenchyme and stroma","Aging, Oncogene induced senescence, Irradiation Induced senescence",Mouse,SASP/Inflammation,"27341653, 36711531, 30401703, 26657143","rt-qPCR, scRNA-seq, CyTOF"
INHBA,inhibin subunit beta A,HGNC:6066,mRNA,Bone marrow,Osteoblast,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
IRF1,interferon regulatory factor 1,HGNC:6116,mRNA,Bone marrow,"Osteocytes, Needle biopsies of Bone - Marrow",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
LMNB1,lamin B1,HGNC:6637,mRNA,Bone marrow,Bone marrow stroma,Oncogene induced senescence,Mouse,Nuclear changes,30401703,rt-qPCR
MKI67,marker of proliferation Ki-67,HGNC:7107,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,Cell cycle arrest,37524694,CyTOF
MMP12,matrix metallopeptidase 12,HGNC:7158,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
MMP13,matrix metallopeptidase 13,HGNC:7159,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
MMP9,matrix metallopeptidase 9,HGNC:7176,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,Protein,Bone marrow,Bone marrow mesenchyme,Aging,Mouse,SASP/Inflammation,37524694,CyTOF
NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
PAPPA,pappalysin 1,HGNC:8602,mRNA,Bone marrow,Needle biopsies of Bone - Marrow,Aging,Human,SASP/Inflammation,27341653,rt-qPCR
SA-β-Gal,senescence associated beta galactosidase,,"Protein,",Bone marrow,Bone marrow stroma,Irradiation Induced senescence,Mouse,Increased lysosomal content,26657143,Staining
SEMA3F,semaphorin 3F,HGNC:10728,mRNA,Bone marrow,Bone and bone marrow biopses,Aging,Human,SASP/Inflammation,35974106,scRNA-seq
SERPINB2,serpin family B member 2,HGNC:8584,mRNA,Bone marrow,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
